https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume EUR
1715040000,2024-05-07 00:00:00,ETH/EUR,2845.0,2907.9,2790.6,2796.7,888.76437443,2485607.3259683806
1714953600,2024-05-06 00:00:00,ETH/EUR,2918.7,2990.0,2829.3,2844.1,1012.46875165,2879562.3765677647
1714867200,2024-05-05 00:00:00,ETH/EUR,2897.3,2948.1,2858.0,2915.1,562.77131327,1640534.6553133768
1714780800,2024-05-04 00:00:00,ETH/EUR,2885.1,2943.7,2876.6,2897.7,679.80795396,1969879.5081898917
1714694400,2024-05-03 00:00:00,ETH/EUR,2786.8,2908.3,2756.7,2885.8,1043.28336024,3010707.1209805924
1714608000,2024-05-02 00:00:00,ETH/EUR,2770.1,2814.4,2699.4,2786.1,1472.49898347,4102529.417845767
1714521600,2024-05-01 00:00:00,ETH/EUR,2823.0,2832.4,2640.0,2770.3,3150.98317965,8729168.702584395
1714435200,2024-04-30 00:00:00,ETH/EUR,2999.1,3031.8,2735.0,2824.1,2038.30983225,5756390.797257225
1714348800,2024-04-29 00:00:00,ETH/EUR,3046.7,3067.9,2914.7,2999.5,991.81571053,2974951.223734735
1714262400,2024-04-28 00:00:00,ETH/EUR,3050.4,3140.0,3041.3,3048.0,1210.64582684,3690048.4802083196
1714176000,2024-04-27 00:00:00,ETH/EUR,2930.0,3073.2,2871.4,3046.0,1367.29635982,4164784.7120117196
1714089600,2024-04-26 00:00:00,ETH/EUR,2943.1,2959.6,2904.7,2930.1,1028.58846450,3013867.05983145
1714003200,2024-04-25 00:00:00,ETH/EUR,2933.1,2974.9,2867.4,2942.9,1587.79237707,4672714.186479303
1713916800,2024-04-24 00:00:00,ETH/EUR,3009.1,3079.7,2908.0,2935.0,1287.58861080,3779072.572698
1713830400,2024-04-23 00:00:00,ETH/EUR,3005.6,3052.4,2953.3,3009.7,1337.43947838,4025291.598080286
1713744000,2024-04-22 00:00:00,ETH/EUR,2955.5,3036.2,2937.1,3005.9,926.16759386,2783967.170383774
1713657600,2024-04-21 00:00:00,ETH/EUR,2968.3,3002.6,2929.9,2955.9,1236.47610535,3654899.719804065
1713571200,2024-04-20 00:00:00,ETH/EUR,2874.5,2980.2,2839.0,2967.6,1307.29576510,3879530.9125107597
1713484800,2024-04-19 00:00:00,ETH/EUR,2882.1,2938.8,2700.2,2873.7,2296.60622675,6599757.313811475
1713398400,2024-04-18 00:00:00,ETH/EUR,2802.1,2908.6,2767.4,2882.0,1409.37520827,4061819.35023414
1713312000,2024-04-17 00:00:00,ETH/EUR,2907.0,2942.2,2743.0,2801.7,2121.72050556,5944424.340427452
1713225600,2024-04-16 00:00:00,ETH/EUR,2923.6,2948.7,2820.6,2906.9,1641.71125855,4772290.4574789945
1713139200,2024-04-15 00:00:00,ETH/EUR,2969.4,3077.6,2850.0,2920.6,2137.97816301,6244179.022887006
1713052800,2024-04-14 00:00:00,ETH/EUR,2875.7,2990.4,2769.7,2971.2,3684.96755603,10948775.602476336
1712966400,2024-04-13 00:00:00,ETH/EUR,3054.5,3112.2,2663.7,2879.5,4575.30171079,13174581.276219804
1712880000,2024-04-12 00:00:00,ETH/EUR,3265.2,3325.2,2916.6,3056.2,3099.21550150,9471822.4156843
1712793600,2024-04-11 00:00:00,ETH/EUR,3301.8,3367.2,3242.3,3266.3,1752.01628644,5722610.796398972
1712707200,2024-04-10 00:00:00,ETH/EUR,3226.4,3316.5,3168.0,3298.0,2041.90038467,6734187.46864166
1712620800,2024-04-09 00:00:00,ETH/EUR,3400.2,3428.7,3183.2,3230.2,2103.91338985,6796061.031893469
1712534400,2024-04-08 00:00:00,ETH/EUR,3189.5,3432.3,3146.0,3400.5,2899.32546013,9859156.227172066
1712448000,2024-04-07 00:00:00,ETH/EUR,3094.9,3194.2,3089.1,3190.0,974.14826733,3107532.9727827
1712361600,2024-04-06 00:00:00,ETH/EUR,3065.1,3135.1,3054.3,3096.4,1019.18653021,3155809.172142244
1712275200,2024-04-05 00:00:00,ETH/EUR,3074.0,3089.7,2963.0,3063.6,1808.41547748,5540261.656807727
1712188800,2024-04-04 00:00:00,ETH/EUR,3058.1,3175.1,3002.3,3073.6,2162.77006945,6647490.08546152
1712102400,2024-04-03 00:00:00,ETH/EUR,3052.3,3120.0,2980.0,3059.0,2722.06591514,8326799.63441326
1712016000,2024-04-02 00:00:00,ETH/EUR,3265.0,3267.1,2984.2,3047.7,3288.09577667,10021129.498557158
1711929600,2024-04-01 00:00:00,ETH/EUR,3379.2,3379.5,3180.0,3263.9,2038.29165840,6652780.14385176
1711843200,2024-03-31 00:00:00,ETH/EUR,3253.0,3389.8,3251.8,3379.2,1453.72191112,4912417.082056704
1711756800,2024-03-30 00:00:00,ETH/EUR,3254.6,3304.6,3233.7,3253.0,928.66387397,3020943.5820244104
1711670400,2024-03-29 00:00:00,ETH/EUR,3300.6,3325.0,3219.4,3254.6,1590.18871764,5175428.200431144
1711584000,2024-03-28 00:00:00,ETH/EUR,3235.4,3344.0,3200.3,3300.1,1570.53348355,5182917.549063355
1711497600,2024-03-27 00:00:00,ETH/EUR,3310.9,3387.7,3195.5,3235.6,1920.91100514,6215299.648230984
1711411200,2024-03-26 00:00:00,ETH/EUR,3312.8,3390.6,3272.2,3310.8,1918.12425812,6350525.793783696
1711324800,2024-03-25 00:00:00,ETH/EUR,3198.5,3375.7,3163.7,3311.2,2469.95146926,8178503.305013712
1711238400,2024-03-24 00:00:00,ETH/EUR,3084.2,3210.8,3056.3,3196.5,1272.13897412,4066392.23077458
1711152000,2024-03-23 00:00:00,ETH/EUR,3088.6,3180.8,3030.4,3084.7,1311.08849915,4044314.693328005
1711065600,2024-03-22 00:00:00,ETH/EUR,3217.2,3269.9,3010.0,3089.3,3366.11734477,10398946.313197961
1710979200,2024-03-21 00:00:00,ETH/EUR,3219.0,3297.3,3142.6,3216.3,3289.93217457,10581408.853069492
1710892800,2024-03-20 00:00:00,ETH/EUR,2905.9,3236.0,2814.1,3216.6,5282.11245048,16990442.90821397
1710806400,2024-03-19 00:00:00,ETH/EUR,3237.2,3260.8,2898.2,2912.9,6767.36424027,19712655.295482483
1710720000,2024-03-18 00:00:00,ETH/EUR,3346.0,3346.0,3178.8,3236.5,2187.33758242,7079318.085502331
1710633600,2024-03-17 00:00:00,ETH/EUR,3231.1,3378.7,3129.0,3347.2,4275.53503051,14311070.85412307
1710547200,2024-03-16 00:00:00,ETH/EUR,3440.0,3473.4,3184.9,3231.8,3209.60085473,10372788.042316414
