https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume EUR
1538784000,2018-10-06 00:00:00,BTC/EUR,5723.84,5731.09,5573.00,5711.35,2677.66139714,15293061.420555541
1538697600,2018-10-05 00:00:00,BTC/EUR,5692.19,5767.00,5656.70,5730.87,1017.95867828,5833788.850594503
1538611200,2018-10-04 00:00:00,BTC/EUR,5640.17,5750.00,5622.57,5681.20,1058.23200504,6012027.667033249
1538524800,2018-10-03 00:00:00,BTC/EUR,5631.50,5649.50,5499.38,5640.17,1508.91337870,8510527.97114238
1538438400,2018-10-02 00:00:00,BTC/EUR,5689.66,5714.99,5600.00,5632.38,1135.74079542,6396923.7413077
1538352000,2018-10-01 00:00:00,BTC/EUR,5697.58,5730.00,5581.61,5688.05,1200.55221361,6828801.018624362
1538265600,2018-09-30 00:00:00,BTC/EUR,5697.94,5723.93,5610.00,5699.11,905.79062274,5162200.395963761
1538179200,2018-09-29 00:00:00,BTC/EUR,5714.47,5714.47,5563.27,5676.98,727.23132018,4128477.660035456
1538092800,2018-09-28 00:00:00,BTC/EUR,5752.00,5841.98,5630.66,5714.47,1269.91505104,7256891.4617165495
1538006400,2018-09-27 00:00:00,BTC/EUR,5503.00,5780.00,5493.23,5754.10,1355.37825786,7798982.033552227
1537920000,2018-09-26 00:00:00,BTC/EUR,5477.00,5600.00,5421.40,5503.00,1803.63945168,9925427.902595041
1537833600,2018-09-25 00:00:00,BTC/EUR,5607.22,5607.22,5390.23,5477.00,2423.71729018,13274699.59831586
1537747200,2018-09-24 00:00:00,BTC/EUR,5700.86,5728.00,5569.96,5607.17,1399.06560517,7844798.689341069
1537660800,2018-09-23 00:00:00,BTC/EUR,5717.85,5774.20,5665.00,5714.98,695.04125947,3972146.89704586
1537574400,2018-09-22 00:00:00,BTC/EUR,5748.15,5813.00,5626.00,5718.36,1081.81011235,6186179.674057746
1537488000,2018-09-21 00:00:00,BTC/EUR,5524.10,5783.66,5505.08,5748.16,3037.57674296,17460477.130812954
1537401600,2018-09-20 00:00:00,BTC/EUR,5476.41,5553.86,5382.79,5521.99,1333.21802336,7362016.592813686
1537315200,2018-09-19 00:00:00,BTC/EUR,5432.77,5595.11,5237.25,5477.64,1996.61949352,10936762.802484894
1537228800,2018-09-18 00:00:00,BTC/EUR,5367.55,5459.19,5332.55,5435.67,1273.87010646,6924337.521581428
1537142400,2018-09-17 00:00:00,BTC/EUR,5595.40,5614.16,5310.00,5355.54,1555.91437571,8332761.675689934
1537056000,2018-09-16 00:00:00,BTC/EUR,5618.10,5619.30,5496.00,5595.40,342.72875647,1917704.483952238
1536969600,2018-09-15 00:00:00,BTC/EUR,5586.80,5649.00,5564.06,5621.08,389.74342478,2190778.9701623623
1536883200,2018-09-14 00:00:00,BTC/EUR,5559.99,5634.99,5460.00,5589.31,1069.82509314,5979584.091338334
1536796800,2018-09-13 00:00:00,BTC/EUR,5450.49,5600.27,5439.07,5559.27,1562.33306605,8685431.344099784
1536710400,2018-09-12 00:00:00,BTC/EUR,5418.00,5467.49,5341.91,5449.98,1385.24658978,7549566.209369204
1536624000,2018-09-11 00:00:00,BTC/EUR,5443.97,5534.79,5327.50,5411.54,1506.94363497,8154885.758385553
1536537600,2018-09-10 00:00:00,BTC/EUR,5399.07,5508.66,5378.00,5440.43,1260.16945066,6855863.684454184
1536451200,2018-09-09 00:00:00,BTC/EUR,5373.99,5587.88,5348.83,5399.08,951.81236285,5138911.092016178
1536364800,2018-09-08 00:00:00,BTC/EUR,5546.21,5614.99,5317.01,5373.00,1352.41065574,7266502.45329102
1536278400,2018-09-07 00:00:00,BTC/EUR,5608.51,5628.15,5436.67,5549.80,1373.82301143,7624442.948834214
1536192000,2018-09-06 00:00:00,BTC/EUR,5759.83,5770.63,5385.00,5587.54,3226.33509451,18027276.393978406
1536105600,2018-09-05 00:00:00,BTC/EUR,6349.15,6385.00,5720.30,5764.95,2799.50518035,16139007.389458733
1536019200,2018-09-04 00:00:00,BTC/EUR,6242.51,6400.00,6230.00,6349.15,1417.43745678,8999523.028714737
1535932800,2018-09-03 00:00:00,BTC/EUR,6290.59,6312.49,6195.44,6242.51,937.80382576,5854249.760345058
1535846400,2018-09-02 00:00:00,BTC/EUR,6191.30,6313.35,6121.05,6289.40,1001.70218859,6300105.744917946
1535760000,2018-09-01 00:00:00,BTC/EUR,6031.98,6248.00,6031.98,6191.30,858.02491884,5312289.6800140925
1535673600,2018-08-31 00:00:00,BTC/EUR,5989.24,6100.00,5914.42,6038.59,1075.10904795,6492142.745860391
1535587200,2018-08-30 00:00:00,BTC/EUR,6008.09,6036.60,5820.64,5989.22,1525.66153985,9137522.607700417
1535500800,2018-08-29 00:00:00,BTC/EUR,6058.11,6109.61,5912.59,6004.92,1262.96904402,7584028.0718165785
